Generación,Mejor Individuo,Fitness
58,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 73.55397440484585, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",120428.95247616738
59,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 73.55397440484585, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",120428.95247616738
60,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 73.55397440484585, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",120428.95247616738
61,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
62,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
63,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
64,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
65,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
66,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
67,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
68,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
69,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
70,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
71,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
72,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
73,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
74,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
75,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
76,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
77,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
78,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
