Generación,Mejor Posición Global,Fitness
65,"{'x1': 93.24101804142973, 'x2': 0, 'x3': 239.2926782022666, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
66,"{'x1': 93.24101804143176, 'x2': 0, 'x3': 239.29267820221082, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
67,"{'x1': 93.24101804143278, 'x2': 0, 'x3': 239.29267820218294, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
68,"{'x1': 93.24101804143329, 'x2': 0, 'x3': 239.29267820216901, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
69,"{'x1': 93.24101804143355, 'x2': 0, 'x3': 239.29267820216205, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
70,"{'x1': 93.24101804143368, 'x2': 0, 'x3': 239.29267820215856, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
71,"{'x1': 93.24101804143373, 'x2': 0, 'x3': 239.29267820215682, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
72,"{'x1': 93.24101804143376, 'x2': 0, 'x3': 239.29267820215594, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
73,"{'x1': 93.24101804143378, 'x2': 0, 'x3': 239.2926782021555, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
74,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021553, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
75,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.29267820215517, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
76,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.29267820215512, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
77,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
78,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
79,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
80,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
81,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
